#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2021-11-03T12:43:34 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ618280b2388b7b	
#INFO	-out.max=unlimited	
#INFO	queryParameters=50	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-nav=cat:J/ApJ/892/102&tab:{J/ApJ/892/102/table3}&key:source=J/ApJ/892/102&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJ/892/102/table3
#-order=I
#-out=PLCKESZ
#-out=f_PLCKESZ
#-out=z
#-out=M500
#-out=E_M500
#-out=e_M500
#-out=Mg500
#-out=E_Mg500
#-out=e_Mg500
#-out=kT
#-out.all=2
#-out=E_kT
#-out=e_kT
#-out=kTexc
#-out=E_kTexc
#-out=e_kTexc
#-out=LX
#-out=E_LX
#-out=e_LX
#-out=LXexc
#-out=E_LXexc
#-out=e_LXexc
#-out=Lbol
#-out=E_Lbol
#-out.all=2
#-out=e_Lbol
#-out=Lbolexc
#-out=E_Lbolexc
#-out=e_Lbolexc
#-out=NT
#-out=fT
#-out=Nsb
#-out=fsb
#-out=Simbad
#Simbad=Simbad
#-out=NED
#NED=NED
#-out=_RA
#-out=_DE
#-out.all=2
#

#RESOURCE=yCat_18920102
#Name: J/ApJ/892/102
#Title: XMM X-ray data of Planck ESZ galaxy clusters (Lovisari+, 2020)
#Table	J_ApJ_892_102_table3:
#Name: J/ApJ/892/102/table3
#Title: Cluster properties
#Column	PLCKESZ	(A13)	Planck identifier GLLL.ll+BB.bb (1)	[ucd=meta.id;meta.main]
#Column	f_PLCKESZ	(A1)	[*] * = not explained in the paper	[ucd=stat.fit.param]
#Column	z	(F6.3)	[0.059/0.6] Cluster spectroscopic redshift	[ucd=src.redshift]
#Column	M500	(F5.2)	[2.4/17.6] Total mass with R_500_	[ucd=phys.mass]
#Column	E_M500	(F5.2)	[0.04/6] Upper uncertainty in M500	[ucd=stat.error;stat.max]
#Column	e_M500	(F5.2)	[0.03/5] Lower uncertainty in M500	[ucd=stat.error]
#Column	Mg500	(F5.2)	[2.87/32] Gas mass with R_500_	[ucd=phys.mass]
#Column	E_Mg500	(F5.2)	[0.03/3] Upper uncertainty in Mg500	[ucd=stat.error;stat.max]
#Column	e_Mg500	(F5.2)	[0.03/6] Upper uncertainty in Mg500	[ucd=stat.error]
#Column	kT	(F5.2)	[1.67/14.4] Core-included cluster temperature	[ucd=phys.temperature;em.X-ray]
#Column	E_kT	(F5.2)	[0.03/1.4] Upper uncertainty in kT	[ucd=stat.error;stat.max]
#Column	e_kT	(F5.2)	[0.03/1.4] Lower uncertainty in kT	[ucd=stat.error;phys.energy]
#Column	kTexc	(F5.2)	[1.4/15.1] Core-excluded cluster temperature	[ucd=phys.temperature;em.X-ray]
#Column	E_kTexc	(F5.2)	[0.04/1.6] Upper uncertainty in kTexc	[ucd=stat.error;stat.max]
#Column	e_kTexc	(F5.2)	[0.04/1.6] Lower uncertainty in kTexc	[ucd=stat.error]
#Column	LX	(F5.2)	[1.28/27.1] Core-included cluster 0.1-2.4keV luminosity; erg/s	[ucd=phys.luminosity;em.X-ray]
#Column	E_LX	(F5.2)	[0.04/1.7] Upper uncertainty in LX	[ucd=stat.error;stat.max]
#Column	e_LX	(F5.2)	[0.04/1.7] Lower uncertainty in LX	[ucd=stat.error]
#Column	LXexc	(F5.2)	[0.86/18] Core-excluded cluster 0.1-2.4keV luminosity; erg/s	[ucd=phys.luminosity;em.X-ray]
#Column	E_LXexc	(F5.2)	[0.01/1.3] Upper uncertainty in LXexc	[ucd=stat.error;stat.max]
#Column	e_LXexc	(F5.2)	[0.01/1.3] Lower uncertainty in LXexc	[ucd=stat.error]
#Column	Lbol	(F5.2)	[2.6/87] Core-included cluster bolometric (0.01-100keV) luminosity; erg/s	[ucd=phys.luminosity]
#Column	E_Lbol	(F5.2)	[0.1/8] Upper uncertainty in Lbol	[ucd=stat.error;stat.max]
#Column	e_Lbol	(F5.2)	[0.1/8] Lower uncertainty in Lbol	[ucd=stat.error]
#Column	Lbolexc	(F5.2)	[1.87/61] Core-excluded cluster bolometric (0.01-100keV) luminosity; in erg/s units	[ucd=phys.luminosity]
#Column	E_Lbolexc	(F5.2)	[0.01/4] Upper uncertainty in Lbolexc	[ucd=stat.error;stat.max]
#Column	e_Lbolexc	(F5.2)	[0.01/4] Lower uncertainty in Lbolexc	[ucd=stat.error]
#Column	NT	(I2)	[1/33] Number of temperature profile bins	[ucd=meta.number]
#Column	fT	(F5.2)	[0.3/1.3] Fraction of R_500_ covered by temperature profile	[ucd=stat.fit.param]
#Column	Nsb	(I3)	[4/372] Number of surface brightness profile bins	[ucd=meta.number]
#Column	fsb	(F5.2)	[0.5/1.7] Fraction of R_500_ covered by surface brightness profile	[ucd=stat.fit.param]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	NED	(A3)	NED column added by the CDS	[ucd=meta.number]
#Column	_RA	(F7.3)	Positions from Planck ESZ catalog (VIII/88) (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F7.3)	Positions from Planck ESZ catalog (VIII/88) (declination part)	[ucd=pos.eq.dec;meta.main]
PLCKESZ	f_PLCKESZ	z	M500	E_M500	e_M500	Mg500	E_Mg500	e_Mg500	kT	E_kT	e_kT	kTexc	E_kTexc	e_kTexc	LX	E_LX	e_LX	LXexc	E_LXexc	e_LXexc	Lbol	E_Lbol	e_Lbol	Lbolexc	E_Lbolexc	e_Lbolexc	NT	fT	Nsb	fsb	Simbad	NED	_RA	_DE
G000.44-41.83	 	 0.165	 5.01	 0.55	 0.48	 6.61	 0.36	 0.33	 5.85	 0.32	 0.32	 5.82	 0.43	 0.43	 3.79	 0.25	 0.25	 2.88	 0.13	 0.13	 8.36	 0.78	 0.78	 6.36	 0.47	 0.47	 6	 1.00	 20	 1.21	Simbad	NED	316.051	-41.325
G002.74-56.18	 	 0.141	 4.96	 0.43	 0.28	 5.63	 0.21	 0.14	 5.36	 0.12	 0.12	 5.39	 0.18	 0.18	 4.47	 0.16	 0.16	 2.71	 0.07	 0.07	 9.96	 0.49	 0.49	 6.03	 0.23	 0.23	10	 0.94	 49	 1.08	Simbad	NED	334.681	-38.892
G003.90-59.41	 	 0.151	 6.94	 0.19	 0.19	 8.65	 0.08	 0.08	 7.06	 0.13	 0.13	 6.46	 0.14	 0.14	 7.13	 0.24	 0.24	 4.61	 0.17	 0.17	18.06	 0.67	 0.67	11.62	 0.43	 0.43	10	 0.98	 63	 1.08	Simbad	NED	338.618	-37.752
G006.70-35.54	 	 0.089	 2.42	 0.04	 0.03	 4.27	 0.05	 0.08	 4.72	 0.08	 0.08	 4.62	 0.09	 0.09	 2.44	 0.09	 0.09	 2.08	 0.08	 0.08	 4.67	 0.25	 0.25	 3.98	 0.21	 0.21	15	 1.14	 45	 1.18	Simbad	NED	308.691	-35.810
G006.78+30.46	 	 0.203	17.56	 0.28	 0.27	32.00	 0.24	 0.22	14.37	 0.12	 0.12	15.01	 0.16	 0.16	23.84	 0.36	 0.36	16.55	 0.13	 0.13	86.79	 1.74	 1.74	60.27	 0.84	 0.84	19	 1.26	171	 1.62	Simbad	NED	243.952	-06.132
G008.44-56.35	 	 0.149	 3.61	 0.08	 0.07	 4.64	 0.05	 0.04	 5.12	 0.08	 0.08	 4.91	 0.10	 0.10	 3.47	 0.12	 0.12	 2.31	 0.08	 0.08	 6.78	 0.34	 0.34	 4.54	 0.22	 0.22	 8	 1.10	 41	 1.24	Simbad	NED	334.462	-35.729
G008.93-81.23	 	 0.307	10.39	 0.24	 0.23	15.64	 0.13	 0.13	 8.78	 0.09	 0.09	 8.43	 0.10	 0.10	13.12	 0.31	 0.31	 9.72	 0.17	 0.17	36.54	 1.21	 1.21	27.09	 0.70	 0.70	 8	 0.97	 78	 1.03	Simbad	NED	003.576	-30.384
G021.09+33.25	 	 0.151	 6.88	 0.20	 0.18	10.45	 0.32	 0.35	 6.25	 0.14	 0.14	 8.77	 0.31	 0.31	16.07	 0.18	 0.18	 6.84	 0.10	 0.10	38.83	 0.55	 0.55	16.51	 0.25	 0.25	10	 1.21	 86	 1.24	Simbad	NED	248.179	+05.587
G036.72+14.92	*	 0.152	 5.21	 0.32	 0.29	 8.16	 0.29	 0.28	 7.44	 0.66	 0.66	 6.89	 1.02	 1.02	 5.97	 0.27	 0.27	 4.00	 0.17	 0.17	15.59	 1.11	 1.11	10.43	 0.71	 0.71	 3	 0.51	  9	 0.87	Simbad	NED	271.136	+10.036
G039.85-39.98	 	 0.176	 3.77	 0.47	 0.17	 5.32	 0.36	 0.17	 5.89	 0.14	 0.14	 5.82	 0.16	 0.16	 2.91	 0.12	 0.12	 2.02	 0.10	 0.10	 6.54	 0.32	 0.32	 5.69	 0.28	 0.28	 7	 1.22	 71	 1.43	Simbad	NED	321.776	-12.169
G042.82+56.61	 	 0.072	 4.65	 0.15	 0.13	 6.01	 0.08	 0.07	 4.83	 0.07	 0.07	 4.79	 0.09	 0.09	 3.18	 0.08	 0.08	 2.24	 0.05	 0.05	 6.74	 0.22	 0.22	 4.74	 0.14	 0.14	15	 0.74	 42	 0.88	Simbad	NED	230.610	+27.703
G046.08+27.18	 	 0.389	 6.26	 0.61	 0.48	 9.90	 0.35	 0.30	 5.93	 0.30	 0.30	 5.65	 0.29	 0.29	 7.51	 0.41	 0.41	 6.26	 0.28	 0.28	17.12	 1.47	 1.47	14.28	 1.10	 1.10	 3	 1.08	 15	 1.17	Simbad	NED	262.918	+22.855
G046.50-49.43	 	 0.085	 6.05	 0.28	 0.26	 6.24	 0.09	 0.08	 5.59	 0.12	 0.12	 5.21	 0.14	 0.14	 3.34	 0.12	 0.12	 2.28	 0.07	 0.07	 7.95	 0.39	 0.39	 5.43	 0.23	 0.23	15	 0.67	 58	 0.75	Simbad	NED	332.573	-12.158
G049.20+30.86	 	 0.164	 5.86	 0.16	 0.16	 6.51	 0.07	 0.07	 5.47	 0.08	 0.08	 6.28	 0.17	 0.17	 8.70	 0.18	 0.18	 3.83	 0.06	 0.06	22.46	 0.74	 0.74	 9.89	 0.29	 0.29	 8	 0.99	 24	 0.99	Simbad	NED	260.032	+26.614
G049.33+44.38	 	 0.097	 3.84	 0.46	 0.38	 3.85	 0.18	 0.17	 4.90	 0.17	 0.17	 4.80	 0.23	 0.23	 1.68	 0.08	 0.08	 1.22	 0.04	 0.04	 3.60	 0.23	 0.23	 2.63	 0.13	 0.13	 8	 0.61	 26	 0.82	Simbad	NED	245.130	+29.905
G049.66-49.50	 	 0.098	 4.81	 0.21	 0.19	 4.41	 0.08	 0.08	 4.64	 0.08	 0.08	 4.81	 0.14	 0.14	 3.44	 0.12	 0.12	 1.74	 0.05	 0.05	 7.26	 0.33	 0.33	 3.67	 0.15	 0.15	10	 0.68	 36	 0.68	Simbad	NED	333.647	-10.392
G053.52+59.54	 	 0.113	 5.87	 0.20	 0.15	 7.03	 0.10	 0.08	 6.58	 0.14	 0.14	 6.31	 0.16	 0.16	 4.08	 0.11	 0.11	 3.08	 0.04	 0.04	 9.74	 0.40	 0.40	 7.33	 0.20	 0.20	 5	 0.81	 38	 0.96	Simbad	NED	227.534	+33.485
